name,rarity,power,toughness,types,type,supertypes,subtypes,setCode,loyalty,life,text,cardParts,colorIdentity,edhrecRank,edhrecSaltiness,faceConvertedManaCost,faceManaValue,faceName,keywords,manaCost,manaValue
Chrome Prowler,common,3,2,"Artifact, Creature",Artifact Creature — Phyrexian Cat,,"Phyrexian, Cat",J25,,,"Flash\nWhen this creature enters, tap target creature an opponent controls.",,U,17941.0,,,,,Flash,{2}{U},3.0
Exclusion Mage,uncommon,2,2,Creature,Creature — Human Wizard,,"Human, Wizard",J25,,,"When this creature enters, return target creature an opponent controls to its owner's hand.",,U,13466.0,0.56,,,,,{2}{U},3.0
Gearseeker Serpent,common,5,6,Creature,Creature — Serpent,,Serpent,J25,,,Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)\n{5}{U}: This creature can't be blocked this turn.,,U,16301.0,,,,,Affinity,{5}{U}{U},7.0
Haunting Figment,common,2,1,Creature,Creature — Illusion,,Illusion,J25,,,Vigilance\nThis creature can't be blocked as long as you've cast an instant or sorcery spell this turn.,,U,20611.0,,,,,Vigilance,{1}{U},2.0
Lat-Nam Adept,common,3,3,Creature,Creature — Human Wizard,,"Human, Wizard",J25,,,"Whenever you draw your second card each turn, put a +1/+1 counter on this creature.",,U,18213.0,0.25,,,,,{3}{U},4.0
Malcator's Watcher,common,1,1,"Artifact, Creature",Artifact Creature — Phyrexian Drone,,"Phyrexian, Drone",J25,,,"Flying, vigilance\nWhen this creature dies, draw a card.",,U,12013.0,,,,,"Flying, Vigilance",{1}{U},2.0
Opt,common,,,Instant,Instant,,,J25,,,Scry 1. (Look at the top card of your library. You may put that card on the bottom.)\nDraw a card.,,U,208.0,0.07,,,,Scry,{U},1.0
Shipwreck Dowser,common,3,3,Creature,Creature — Merfolk Wizard,,"Merfolk, Wizard",J25,,,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhen this creature enters, return target instant or sorcery card from your graveyard to your hand.",,U,8084.0,0.12,,,,Prowess,{3}{U}{U},5.0
Spectral Sailor,uncommon,1,1,Creature,Creature — Spirit Pirate,,"Spirit, Pirate",J25,,,Flash (You may cast this spell any time you could cast an instant.)\nFlying\n{3}{U}: Draw a card.,,U,1644.0,0.04,,,,"Flash, Flying",{U},1.0
Thopter Mechanic,uncommon,2,1,Creature,Creature — Human Artificer,,"Human, Artificer",J25,,,"Whenever you draw your second card each turn, put a +1/+1 counter on this creature.\nWhen this creature dies, create a 1/1 colorless Thopter artifact creature token with flying.",,U,14658.0,,,,,,{1}{U},2.0
Tidepool Turtle,common,2,5,Creature,Creature — Turtle,,Turtle,J25,,,{2}{U}: Scry 1. (Look at the top card of your library. You may put that card on the bottom.),,U,18647.0,,,,,Scry,{3}{U},4.0
Voracious Greatshark,rare,5,4,Creature,Creature — Shark,,Shark,J25,,,"Flash (You may cast this spell any time you could cast an instant.)\nWhen this creature enters, counter target artifact or creature spell.",,U,10887.0,0.5,,,,Flash,{3}{U}{U},5.0
Bloodtithe Collector,uncommon,3,4,Creature,Creature — Vampire Noble,,"Vampire, Noble",J25,,,"Flying\nWhen this creature enters, if an opponent lost life this turn, each opponent discards a card.",,B,18491.0,0.33,,,,Flying,{4}{B},5.0
Crossway Troublemakers,rare,5,5,Creature,Creature — Vampire,,Vampire,J25,,,"Attacking Vampires you control have deathtouch and lifelink. (Any amount of damage they deal to a creature is enough to destroy it. Damage dealt by those creatures also causes their controller to gain that much life.)\nWhenever a Vampire you control dies, you may pay 2 life. If you do, draw a card.",,B,3100.0,0.08,,,,,{5}{B},6.0
Disfigure,common,,,Instant,Instant,,,J25,,,Target creature gets -2/-2 until end of turn.,,B,14554.0,0.12,,,,,{B},1.0
Eerie Soultender,common,3,1,Creature,Creature — Spirit Cleric,,"Spirit, Cleric",J25,,,"When this creature enters, mill three cards. (Put the top three cards of your library into your graveyard.)\n{4}{B}, Exile this card from your graveyard: Return another target creature card from your graveyard to your hand.",,B,14782.0,0.1,,,,Mill,{2}{B},3.0
Exsanguinate,uncommon,,,Sorcery,Sorcery,,,J25,,,Each opponent loses X life. You gain life equal to the life lost this way.,,B,387.0,0.85,,,,,{X}{B}{B},2.0
Extinguish the Light,common,,,Instant,Instant,,,J25,,,"Destroy target creature or planeswalker. If its mana value was 3 or less, you gain 3 life.",,B,17823.0,,,,,,{2}{B}{B},4.0
Fake Your Own Death,common,,,Instant,Instant,,,J25,,,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control and you create a Treasure token."" (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",,B,2046.0,0.13,,,,Treasure,{1}{B},2.0
Go for the Throat,uncommon,,,Instant,Instant,,,J25,,,Destroy target nonartifact creature.,,B,327.0,0.19,,,,,{1}{B},2.0
Moment of Craving,common,,,Instant,Instant,,,J25,,,Target creature gets -2/-2 until end of turn. You gain 2 life.,,B,17006.0,,,,,,{1}{B},2.0
Murder,common,,,Instant,Instant,,,J25,,,Destroy target creature.,,B,769.0,0.12,,,,,{1}{B}{B},3.0
Nullpriest of Oblivion,rare,2,1,Creature,Creature — Vampire Cleric,,"Vampire, Cleric",J25,,,"Kicker {3}{B} (You may pay an additional {3}{B} as you cast this spell.)\nLifelink\nMenace (This creature can't be blocked except by two or more creatures.)\nWhen this creature enters, if it was kicked, return target creature card from your graveyard to the battlefield.",,B,3989.0,0.08,,,,"Kicker, Lifelink, Menace",{1}{B},2.0
Powerstone Fracture,common,,,Sorcery,Sorcery,,,J25,,,"As an additional cost to cast this spell, sacrifice an artifact or creature.\nDestroy target creature or planeswalker.",,B,15319.0,0.07,,,,,{1}{B},2.0
Reassembling Skeleton,uncommon,1,1,Creature,Creature — Skeleton Warrior,,"Skeleton, Warrior",J25,,,{1}{B}: Return this card from your graveyard to the battlefield tapped.,,B,754.0,0.16,,,,,{1}{B},2.0
Vampire Nighthawk,uncommon,2,3,Creature,Creature — Vampire Shaman,,"Vampire, Shaman",J25,,,Flying\nDeathtouch (Any amount of damage this deals to a creature is enough to destroy it.)\nLifelink (Damage dealt by this creature also causes you to gain that much life.),,B,1547.0,0.1,,,,"Deathtouch, Flying, Lifelink",{1}{B}{B},3.0
Dragon Whelp,uncommon,2,3,Creature,Creature — Dragon,,Dragon,J25,,,"Flying\n{R}: This creature gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice this creature at the beginning of the next end step.",,R,16514.0,,,,,Flying,{2}{R}{R},4.0
Dragonlord's Servant,uncommon,1,3,Creature,Creature — Goblin Shaman,,"Goblin, Shaman",J25,,,Dragon spells you cast cost {1} less to cast.,,R,1143.0,0.16,,,,,{1}{R},2.0
Fanatical Firebrand,common,1,1,Creature,Creature — Goblin Pirate,,"Goblin, Pirate",J25,,,"Haste (This creature can attack and {T} as soon as it comes under your control.)\n{T}, Sacrifice this creature: It deals 1 damage to any target.",,R,8488.0,0.5,,,,Haste,{R},1.0
Firebrand Archer,common,2,1,Creature,Creature — Human Archer,,"Human, Archer",J25,,,"Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.",,R,1128.0,0.19,,,,,{1}{R},2.0
Jaya's Firenado,common,,,Sorcery,Sorcery,,,J25,,,Jaya's Firenado deals 5 damage to target creature or planeswalker. Scry 1. (Look at the top card of your library. You may put that card on the bottom.),,R,20360.0,,,,,Scry,{4}{R},5.0
Kindled Fury,common,,,Instant,Instant,,,J25,,,Target creature gets +1/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.),,R,16870.0,,,,,,{R},1.0
Rapacious Dragon,uncommon,3,3,Creature,Creature — Dragon,,Dragon,J25,,,"Flying\nWhen this creature enters, create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this token: Add one mana of any color."")",,R,3212.0,0.11,,,,"Flying, Treasure",{4}{R},5.0
Resistance Skywarden,uncommon,5,5,Creature,Creature — Ogre Rebel,,"Ogre, Rebel",J25,,,Menace (This creature can't be blocked except by two or more creatures.)\nReach (This creature can block creatures with flying.),,R,21813.0,0.1,,,,"Menace, Reach",{3}{R}{R},5.0
Shock,common,,,Instant,Instant,,,J25,,,Shock deals 2 damage to any target.,,R,2498.0,0.08,,,,,{R},1.0
Twinferno,uncommon,,,Instant,Instant,,,J25,,,"Choose one —\n• When you cast your next instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.\n• Target creature you control gains double strike until end of turn. (It deals both first-strike and regular combat damage.)",,R,2332.0,0.21,,,,,{1}{R},2.0
Armored Kincaller,common,3,3,Creature,Creature — Dinosaur,,Dinosaur,J25,,,"When this creature enters, you may reveal a Dinosaur card from your hand. If you do or if you control another Dinosaur, you gain 3 life.",,G,14444.0,0.04,,,,,{2}{G},3.0
Audacity,uncommon,,,Enchantment,Enchantment — Aura,,Aura,J25,,,"Enchant creature\nEnchanted creature gets +2/+0 and has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)\nWhen this Aura is put into a graveyard from the battlefield, draw a card.",,G,4021.0,0.02,,,,Enchant,{G},1.0
Bite Down,common,,,Instant,Instant,,,J25,,,Target creature you control deals damage equal to its power to target creature or planeswalker you don't control.,,G,2621.0,0.02,,,,,{1}{G},2.0
Bushwhack,uncommon,,,Sorcery,Sorcery,,,J25,,,"Choose one —\n• Search your library for a basic land card, reveal it, put it into your hand, then shuffle.\n• Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)",,G,1448.0,0.17,,,,Fight,{G},1.0
Dwynen's Elite,uncommon,2,2,Creature,Creature — Elf Warrior,,"Elf, Warrior",J25,,,"When this creature enters, if you control another Elf, create a 1/1 green Elf Warrior creature token.",,G,7316.0,,,,,,{1}{G},2.0
Elvish Archdruid,rare,2,2,Creature,Creature — Elf Druid,,"Elf, Druid",J25,,,Other Elf creatures you control get +1/+1.\n{T}: Add {G} for each Elf you control.,,G,892.0,0.41,,,,,{1}{G}{G},3.0
Giant Growth,common,,,Instant,Instant,,,J25,,,Target creature gets +3/+3 until end of turn.,,G,4229.0,0.1,,,,,{G},1.0
Gnarlid Colony,common,2,2,Creature,Creature — Beast,,Beast,J25,,,"Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.)\nIf this creature was kicked, it enters with two +1/+1 counters on it.\nEach creature you control with a +1/+1 counter on it has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)",,G,7049.0,,,,,Kicker,{1}{G},2.0
Leaf-Crowned Visionary,rare,1,1,Creature,Creature — Elf Druid,,"Elf, Druid",J25,,,"Other Elves you control get +1/+1.\nWhenever you cast an Elf spell, you may pay {G}. If you do, draw a card.",,G,2030.0,0.35,,,,,{G}{G},2.0
Obstinate Baloth,uncommon,4,4,Creature,Creature — Beast,,Beast,J25,,,"When this creature enters, you gain 4 life.\nIf a spell or ability an opponent controls causes you to discard this card, put it onto the battlefield instead of putting it into your graveyard.",,G,18932.0,,,,,,{2}{G}{G},4.0
Primeval Bounty,mythic,,,Enchantment,Enchantment,,,J25,,,"Whenever you cast a creature spell, create a 3/3 green Beast creature token.\nWhenever you cast a noncreature spell, put three +1/+1 counters on target creature you control.\nLandfall — Whenever a land you control enters, you gain 3 life.",,G,2429.0,0.17,,,,Landfall,{5}{G},6.0
Quirion Beastcaller,rare,2,2,Creature,Creature — Dryad Warrior,,"Dryad, Warrior",J25,,,"Whenever you cast a creature spell, put a +1/+1 counter on this creature.\nWhen this creature dies, distribute X +1/+1 counters among any number of target creatures you control, where X is the number of +1/+1 counters on this creature.",,G,6713.0,0.69,,,,,{1}{G},2.0
Snakeskin Veil,common,,,Instant,Instant,,,J25,,,Put a +1/+1 counter on target creature you control. It gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.),,G,614.0,0.12,,,,,{G},1.0
Tail Swipe,uncommon,,,Instant,Instant,,,J25,,,"Choose target creature you control and target creature you don't control. If you cast this spell during your main phase, the creature you control gets +1/+1 until end of turn. Then those creatures fight each other. (Each deals damage equal to its power to the other.)",,G,3269.0,0.15,,,,Fight,{G},1.0
Tajuru Pathwarden,common,5,4,Creature,Creature — Elf Warrior Ally,,"Elf, Warrior, Ally",J25,,,Vigilance (Attacking doesn't cause this creature to tap.)\nTrample (This creature can deal excess combat damage to the player or planeswalker it's attacking.),,G,19188.0,,,,,"Trample, Vigilance",{4}{G},5.0
Thornweald Archer,common,2,1,Creature,Creature — Elf Archer,,"Elf, Archer",J25,,,Reach (This creature can block creatures with flying.)\nDeathtouch (Any amount of damage this deals to a creature is enough to destroy it.),,G,5923.0,0.36,,,,"Deathtouch, Reach",{1}{G},2.0
Thrashing Brontodon,uncommon,3,4,Creature,Creature — Dinosaur,,Dinosaur,J25,,,"{1}, Sacrifice this creature: Destroy target artifact or enchantment.",,G,1943.0,0.22,,,,,{1}{G}{G},3.0
Tough Cookie,uncommon,2,2,"Artifact, Creature",Artifact Creature — Food Golem,,"Food, Golem",J25,,,"When this creature enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")\n{2}{G}: Until end of turn, target noncreature artifact you control becomes a 4/4 artifact creature.\n{2}, {T}, Sacrifice this creature: You gain 3 life.",,G,5248.0,0.11,,,,Food,{1}{G},2.0
Fireshrieker,uncommon,,,Artifact,Artifact — Equipment,,Equipment,J25,,,Equipped creature has double strike. (It deals both first-strike and regular combat damage.)\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.),,,885.0,0.19,,,,Equip,{3},3.0
Gingerbrute,common,1,1,"Artifact, Creature",Artifact Creature — Food Golem,,"Food, Golem",J25,,,"Haste (This creature can attack and {T} as soon as it comes under your control.)\n{1}: This creature can't be blocked this turn except by creatures with haste.\n{2}, {T}, Sacrifice this creature: You gain 3 life.",,,1372.0,0.15,,,,Haste,{1},1.0
Prophetic Prism,common,,,Artifact,Artifact,,,J25,,,"When this artifact enters, draw a card.\n{1}, {T}: Add one mana of any color.",,,4118.0,0.06,,,,,{2},2.0
Evolving Wilds,common,,,Land,Land,,,J25,,,"{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",,,16.0,,,,,,,0.0
Release the Dogs,uncommon,,,Sorcery,Sorcery,,,JMP,,,Create four 1/1 white Dog creature tokens.,,W,6081.0,0.33,,,,,{3}{W},4.0
Corsair Captain,rare,2,2,Creature,Creature — Human Pirate,,"Human, Pirate",JMP,,,"When this creature enters, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")\nOther Pirates you control get +1/+1.",,U,4145.0,0.07,,,,Treasure,{2}{U},3.0
Plains,common,,,Land,Basic Land — Plains,Basic,Plains,JMP,,,({T}: Add {W}.),,W,,0.45,,,,,,0.0
Island,common,,,Land,Basic Land — Island,Basic,Island,JMP,,,({T}: Add {U}.),,U,,0.64,,,,,,0.0
Swamp,common,,,Land,Basic Land — Swamp,Basic,Swamp,JMP,,,({T}: Add {B}.),,B,,0.48,,,,,,0.0
Mountain,common,,,Land,Basic Land — Mountain,Basic,Mountain,JMP,,,({T}: Add {R}.),,R,,0.51,,,,,,0.0
Forest,common,,,Land,Basic Land — Forest,Basic,Forest,JMP,,,({T}: Add {G}.),,G,,0.38,,,,,,0.0
Terramorphic Expanse,common,,,Land,Land,,,JMP,,,"{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",,,28.0,0.19,,,,,,0.0
Angelic Edict,common,,,Sorcery,Sorcery,,,JMP,,,Exile target creature or enchantment.,,W,17714.0,,,,,,{4}{W},5.0
Healer's Hawk,common,1,1,Creature,Creature — Bird,,Bird,JMP,,,Flying\nLifelink (Damage dealt by this creature also causes you to gain that much life.),,W,4830.0,0.18,,,,"Flying, Lifelink",{W},1.0
Inspired Charge,common,,,Instant,Instant,,,JMP,,,Creatures you control get +2/+1 until end of turn.,,W,16273.0,,,,,,{2}{W}{W},4.0
Mentor of the Meek,rare,2,2,Creature,Creature — Human Soldier,,"Human, Soldier",JMP,,,"Whenever another creature you control with power 2 or less enters, you may pay {1}. If you do, draw a card.",,W,503.0,0.15,,,,,{2}{W},3.0
Pacifism,common,,,Enchantment,Enchantment — Aura,,Aura,JMP,,,Enchant creature\nEnchanted creature can't attack or block.,,W,5360.0,0.64,,,,Enchant,{1}{W},2.0
Serra Angel,uncommon,4,4,Creature,Creature — Angel,,Angel,JMP,,,Flying\nVigilance (Attacking doesn't cause this creature to tap.),,W,9434.0,,,,,"Flying, Vigilance",{3}{W}{W},5.0
Valorous Stance,uncommon,,,Instant,Instant,,,JMP,,,"Choose one —\n• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)\n• Destroy target creature with toughness 4 or greater.",,W,2544.0,0.2,,,,,{1}{W},2.0
Aegis Turtle,common,0,5,Creature,Creature — Turtle,,Turtle,JMP,,,,,U,8951.0,,,,,,{U},1.0
Chart a Course,uncommon,,,Sorcery,Sorcery,,,JMP,,,Draw two cards. Then discard a card unless you attacked this turn.,,U,1800.0,0.06,,,,,{1}{U},2.0
Exclusion Mage,uncommon,2,2,Creature,Creature — Human Wizard,,"Human, Wizard",JMP,,,"When this creature enters, return target creature an opponent controls to its owner's hand.",,U,13466.0,0.56,,,,,{2}{U},3.0
Kitesail Corsair,common,2,1,Creature,Creature — Human Pirate,,"Human, Pirate",JMP,,,This creature has flying as long as it's attacking.,,U,15275.0,0.12,,,,,{1}{U},2.0
Mystic Archaeologist,rare,2,1,Creature,Creature — Human Wizard,,"Human, Wizard",JMP,,,{3}{U}{U}: Draw two cards.,,U,18302.0,,,,,,{1}{U},2.0
Spectral Sailor,uncommon,1,1,Creature,Creature — Spirit Pirate,,"Spirit, Pirate",JMP,,,Flash (You may cast this spell any time you could cast an instant.)\nFlying\n{3}{U}: Draw a card.,,U,1644.0,0.04,,,,"Flash, Flying",{U},1.0
Bake into a Pie,common,,,Instant,Instant,,,JMP,,,"Destroy target creature. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",,B,5876.0,,,,,Food,{2}{B}{B},4.0
Bone Splinters,common,,,Sorcery,Sorcery,,,JMP,,,"As an additional cost to cast this spell, sacrifice a creature.\nDestroy target creature.",,B,5021.0,0.26,,,,,{B},1.0
Burglar Rat,common,1,1,Creature,Creature — Rat,,Rat,JMP,,,"When this creature enters, each opponent discards a card.",,B,2460.0,0.28,,,,,{1}{B},2.0
Cemetery Recruitment,common,,,Sorcery,Sorcery,,,JMP,,,"Return target creature card from your graveyard to your hand. If it's a Zombie card, draw a card.",,B,10534.0,,,,,,{1}{B},2.0
Crow of Dark Tidings,common,2,1,Creature,Creature — Zombie Bird,,"Zombie, Bird",JMP,,,"Flying\nWhen this creature enters or dies, mill two cards. (Put the top two cards of your library into your graveyard.)",,B,11518.0,0.08,,,,"Flying, Mill",{2}{B},3.0
Macabre Waltz,common,,,Sorcery,Sorcery,,,JMP,,,"Return up to two target creature cards from your graveyard to your hand, then discard a card.",,B,6582.0,,,,,,{1}{B},2.0
Phyrexian Gargantua,uncommon,4,4,Creature,Creature — Phyrexian Horror,,"Phyrexian, Horror",JMP,,,"When this creature enters, you draw two cards and you lose 2 life.",,B,12216.0,,,,,,{4}{B}{B},6.0
Phyrexian Rager,common,2,2,Creature,Creature — Phyrexian Horror,,"Phyrexian, Horror",JMP,,,"When this creature enters, you draw a card and you lose 1 life.",,B,5953.0,0.04,,,,,{2}{B},3.0
Rise of the Dark Realms,mythic,,,Sorcery,Sorcery,,,JMP,,,Put all creature cards from all graveyards onto the battlefield under your control.,,B,733.0,0.92,,,,,{7}{B}{B},9.0
Vampire Neonate,common,0,3,Creature,Creature — Vampire,,Vampire,JMP,,,"{2}, {T}: Each opponent loses 1 life and you gain 1 life.",,B,14281.0,,,,,,{B},1.0
Dragon Fodder,common,,,Sorcery,Sorcery,,,JMP,,,Create two 1/1 red Goblin creature tokens.,,R,1823.0,0.06,,,,,{1}{R},2.0
Dragonlord's Servant,uncommon,1,3,Creature,Creature — Goblin Shaman,,"Goblin, Shaman",JMP,,,Dragon spells you cast cost {1} less to cast.,,R,1143.0,0.16,,,,,{1}{R},2.0
"Etali, Primal Storm",rare,6,6,Creature,Legendary Creature — Elder Dinosaur,Legendary,"Elder, Dinosaur",JMP,,,"Whenever Etali attacks, exile the top card of each player's library, then you may cast any number of spells from among those cards without paying their mana costs.",,R,248.0,0.82,,,,,{4}{R}{R},6.0
Fanatical Firebrand,common,1,1,Creature,Creature — Goblin Pirate,,"Goblin, Pirate",JMP,,,"Haste (This creature can attack and {T} as soon as it comes under your control.)\n{T}, Sacrifice this creature: It deals 1 damage to any target.",,R,8488.0,0.5,,,,Haste,{R},1.0
Flame Lash,common,,,Instant,Instant,,,JMP,,,Flame Lash deals 4 damage to any target.,,R,17566.0,,,,,,{3}{R},4.0
"Krenko, Mob Boss",rare,3,3,Creature,Legendary Creature — Goblin Warrior,Legendary,"Goblin, Warrior",JMP,,,"{T}: Create X 1/1 red Goblin creature tokens, where X is the number of Goblins you control.",,R,1100.0,1.22,,,,,{2}{R}{R},4.0
"Lathliss, Dragon Queen",rare,6,6,Creature,Legendary Creature — Dragon,Legendary,Dragon,JMP,,,"Flying\nWhenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.\n{1}{R}: Dragons you control get +1/+0 until end of turn.",,R,974.0,0.49,,,,Flying,{4}{R}{R},6.0
Rapacious Dragon,uncommon,3,3,Creature,Creature — Dragon,,Dragon,JMP,,,"Flying\nWhen this creature enters, create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this token: Add one mana of any color."")",,R,3212.0,0.11,,,,"Flying, Treasure",{4}{R},5.0
Volley Veteran,uncommon,4,2,Creature,Creature — Goblin Warrior,,"Goblin, Warrior",JMP,,,"When this creature enters, it deals damage to target creature an opponent controls equal to the number of Goblins you control.",,R,7760.0,0.27,,,,,{3}{R},4.0
Affectionate Indrik,uncommon,4,4,Creature,Creature — Beast,,Beast,JMP,,,"When this creature enters, you may have it fight target creature you don't control. (Each deals damage equal to its power to the other.)",,G,19098.0,0.23,,,,Fight,{5}{G},6.0
Craterhoof Behemoth,mythic,5,5,Creature,Creature — Beast,,Beast,JMP,,,"Haste\nWhen this creature enters, creatures you control gain trample and get +X/+X until end of turn, where X is the number of creatures you control.",,G,426.0,1.85,,,,Haste,{5}{G}{G}{G},8.0
Dwynen's Elite,uncommon,2,2,Creature,Creature — Elf Warrior,,"Elf, Warrior",JMP,,,"When this creature enters, if you control another Elf, create a 1/1 green Elf Warrior creature token.",,G,7316.0,,,,,,{1}{G},2.0
Elvish Archdruid,rare,2,2,Creature,Creature — Elf Druid,,"Elf, Druid",JMP,,,Other Elf creatures you control get +1/+1.\n{T}: Add {G} for each Elf you control.,,G,892.0,0.41,,,,,{1}{G}{G},3.0
"Ghalta, Primal Hunger",rare,12,12,Creature,Legendary Creature — Elder Dinosaur,Legendary,"Elder, Dinosaur",JMP,,,"This spell costs {X} less to cast, where X is the total power of creatures you control.\nTrample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)",,G,497.0,0.54,,,,Trample,{10}{G}{G},12.0
Inspiring Call,uncommon,,,Instant,Instant,,,JMP,,,"Draw a card for each creature you control with a +1/+1 counter on it. Those creatures gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",,G,292.0,0.3,,,,,{2}{G},3.0
Nessian Hornbeetle,uncommon,2,2,Creature,Creature — Insect,,Insect,JMP,,,"At the beginning of combat on your turn, if you control another creature with power 4 or greater, put a +1/+1 counter on this creature.",,G,12528.0,0.12,,,,,{1}{G},2.0
New Horizons,common,,,Enchantment,Enchantment — Aura,,Aura,JMP,,,"Enchant land\nWhen this Aura enters, put a +1/+1 counter on target creature you control.\nEnchanted land has ""{T}: Add two mana of any one color.""",,G,5831.0,,,,,Enchant,{2}{G},3.0
Primeval Bounty,mythic,,,Enchantment,Enchantment,,,JMP,,,"Whenever you cast a creature spell, create a 3/3 green Beast creature token.\nWhenever you cast a noncreature spell, put three +1/+1 counters on target creature you control.\nLandfall — Whenever a land you control enters, you gain 3 life.",,G,2429.0,0.17,,,,Landfall,{5}{G},6.0
Wildheart Invoker,common,4,3,Creature,Creature — Elf Shaman,,"Elf, Shaman",JMP,,,{8}: Target creature gets +5/+5 and gains trample until end of turn. (It can deal excess combat damage to the player or planeswalker it's attacking.),,G,11167.0,,,,,,{2}{G}{G},4.0
Gingerbrute,common,1,1,"Artifact, Creature",Artifact Creature — Food Golem,,"Food, Golem",JMP,,,"Haste (This creature can attack and {T} as soon as it comes under your control.)\n{1}: This creature can't be blocked this turn except by creatures with haste.\n{2}, {T}, Sacrifice this creature: You gain 3 life.",,,1372.0,0.15,,,,Haste,{1},1.0
Hedron Archive,uncommon,,,Artifact,Artifact,,,JMP,,,"{T}: Add {C}{C}.\n{2}, {T}, Sacrifice this artifact: Draw two cards.",,,446.0,,,,,,{4},4.0
Juggernaut,uncommon,5,3,"Artifact, Creature",Artifact Creature — Juggernaut,,Juggernaut,JMP,,,This creature attacks each combat if able.\nThis creature can't be blocked by Walls.,,,17704.0,0.1,,,,,{4},4.0
Meteor Golem,uncommon,3,3,"Artifact, Creature",Artifact Creature — Golem,,Golem,JMP,,,"When this creature enters, destroy target nonland permanent an opponent controls.",,,693.0,0.28,,,,,{7},7.0
Pirate's Cutlass,common,,,Artifact,Artifact — Equipment,,Equipment,JMP,,,"When this Equipment enters, attach it to target Pirate you control.\nEquipped creature gets +2/+1.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,,15572.0,,,,,Equip,{3},3.0
Prophetic Prism,common,,,Artifact,Artifact,,,JMP,,,"When this artifact enters, draw a card.\n{1}, {T}: Add one mana of any color.",,,4118.0,0.06,,,,,{2},2.0
Skittering Surveyor,common,1,2,"Artifact, Creature",Artifact Creature — Construct,,Construct,JMP,,,"When this creature enters, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.",,,9862.0,0.57,,,,,{3},3.0
Disdainful Stroke,common,,,Instant,Instant,,,KHM,,,Counter target spell with mana value 4 or greater.,,U,2166.0,0.31,,,,,{1}{U},2.0
Axgard Cavalry,common,2,2,Creature,Creature — Dwarf Berserker,,"Dwarf, Berserker",KHM,,,{T}: Target creature gains haste until end of turn. (It can attack and {T} this turn.),,R,6304.0,,,,,,{1}{R},2.0
Seize the Spoils,common,,,Sorcery,Sorcery,,,KHM,,,"As an additional cost to cast this spell, discard a card.\nDraw two cards and create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",,R,1002.0,0.05,,,,Treasure,{2}{R},3.0
Broken Wings,common,,,Instant,Instant,,,KHM,,,"Destroy target artifact, enchantment, or creature with flying.",,G,4154.0,0.12,,,,,{2}{G},3.0
"Fynn, the Fangbearer",uncommon,1,3,Creature,Legendary Creature — Human Warrior,Legendary,"Human, Warrior",KHM,,,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)\nWhenever a creature you control with deathtouch deals combat damage to a player, that player gets two poison counters. (A player with ten or more poison counters loses the game.)",,G,2448.0,1.14,,,,Deathtouch,{1}{G},2.0
Snakeskin Veil,common,,,Instant,Instant,,,KHM,,,Put a +1/+1 counter on target creature you control. It gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.),,G,614.0,0.12,,,,,{G},1.0
Immersturm Predator,rare,3,3,Creature,Creature — Vampire Dragon,,"Vampire, Dragon",KHM,,,"Flying\nWhenever this creature becomes tapped, exile up to one target card from a graveyard and put a +1/+1 counter on this creature.\nSacrifice another creature: This creature gains indestructible until end of turn. Tap it.",,"B, R",5554.0,0.13,,,,Flying,{2}{B}{R},4.0
