subtypes,toughness,type,name,rarity,historic,manaCost,power,text,types,alchemy,faceConvertedManaCost
"Human, Wizard",1,Creature — Human Wizard,Ecstatic Awakener // Awoken Demon,common,Legal,{B},1,"{2}{B}, Sacrifice another creature: Draw a card, then transform this creature. Activate only once each turn.",Creature,,1.0
Demon,4,Creature — Demon,Ecstatic Awakener // Awoken Demon,common,Legal,,4,,Creature,,0.0
,,Enchantment,Ghoulish Procession,uncommon,Legal,{1}{B},,"Whenever one or more nontoken creatures die, create a 2/2 black Zombie creature token with decayed. This ability triggers only once each turn. (A creature with decayed can't block. When it attacks, sacrifice it at end of combat.)",Enchantment,,
"Human, Wizard",4,Legendary Creature — Human Wizard,"Gisa, Glorious Resurrector",rare,Legal,{2}{B}{B},4,"If a creature an opponent controls would die, exile it instead.\nAt the beginning of your upkeep, put all creature cards exiled with Gisa onto the battlefield under your control. They gain decayed. (A creature with decayed can't block. When it attacks, sacrifice it at end of combat.)",Creature,,
"Human, Werewolf",3,Creature — Human Werewolf,Graveyard Trespasser // Graveyard Glutton,rare,Legal,{2}{B},3,"Ward—Discard a card.\nWhenever this creature enters or attacks, exile up to one target card from a graveyard. If a creature card was exiled this way, each opponent loses 1 life and you gain 1 life.\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)",Creature,,3.0
Werewolf,4,Creature — Werewolf,Graveyard Trespasser // Graveyard Glutton,rare,Legal,,4,"Ward—Discard a card.\nWhenever this creature enters or attacks, exile up to two target cards from graveyards. For each creature card exiled this way, each opponent loses 1 life and you gain 1 life.\nNightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)",Creature,,0.0
,,Artifact,Heirloom Mirror // Inherited Fiend,uncommon,Legal,{1}{B},,"{1}, {T}, Pay 1 life, Discard a card: Draw a card, mill a card, then put a ritual counter on this artifact. Then if it has three or more ritual counters on it, remove them and transform it. Activate only as a sorcery.",Artifact,,2.0
Demon,4,Creature — Demon,Heirloom Mirror // Inherited Fiend,uncommon,Legal,,4,Flying\n{2}{B}: Exile target creature card from a graveyard. Put a +1/+1 counter on this creature.,Creature,,0.0
Zombie,2,Creature — Zombie,Hobbling Zombie,common,,{2}{B},2,"Deathtouch\nWhen this creature dies, create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)",Creature,,
Zombie,2,Creature — Zombie,A-Hobbling Zombie,common,Legal,{1}{B},2,"Deathtouch\nWhen Hobbling Zombie dies, create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)",Creature,,
"Human, Wizard",1,Legendary Creature — Human Wizard,"Jadar, Ghoulcaller of Nephalia",rare,Legal,{1}{B},1,"At the beginning of your end step, if you control no creatures with decayed, create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)",Creature,,
"Human, Cleric",3,Legendary Creature — Human Cleric,"Jerren, Corrupted Bishop // Ormendahl, the Corrupter",mythic,Legal,{2}{B},2,"Whenever Jerren enters or another nontoken Human you control dies, you lose 1 life and create a 1/1 white Human creature token.\n{2}: Target Human you control gains lifelink until end of turn.\nAt the beginning of your end step, if you have exactly 13 life, you may pay {4}{B}{B}. If you do, transform Jerren.",Creature,,3.0
Demon,6,Legendary Creature — Demon,"Jerren, Corrupted Bishop // Ormendahl, the Corrupter",mythic,Legal,,6,"Flying, trample, lifelink\nSacrifice another creature: Draw a card.",Creature,,0.0
Demon,6,Creature — Demon,Lord of the Forsaken,mythic,Legal,{4}{B}{B},6,"Flying, trample\n{B}, Sacrifice another creature: Target player mills three cards.\nPay 1 life: Add {C}. Spend this mana only to cast a spell from your graveyard.",Creature,,
Equipment,,Legendary Artifact — Equipment,Mask of Griselbrand,rare,Legal,{1}{B}{B},,"Equipped creature has flying and lifelink.\nWhenever equipped creature dies, you may pay X life, where X is its power. If you do, draw X cards.\nEquip {3}",Artifact,,
,,Legendary Enchantment,The Meathook Massacre,mythic,,{X}{B}{B},,"When The Meathook Massacre enters, each creature gets -X/-X until end of turn.\nWhenever a creature you control dies, each opponent loses 1 life.\nWhenever a creature an opponent controls dies, you gain 1 life.",Enchantment,,
,,Legendary Enchantment,A-The Meathook Massacre,mythic,Legal,{X}{B}{B},,"When The Meathook Massacre enters, each creature gets -X/-X until end of turn.\nWhenever a creature you control dies, each opponent loses 1 life.",Enchantment,,
Aura,,Enchantment — Aura,Necrosynthesis,uncommon,Legal,{1}{B},,"Enchant creature\nEnchanted creature has ""Whenever another creature dies, put a +1/+1 counter on this creature.""\nWhen enchanted creature dies, look at the top X cards of your library, where X is its power. Put one of those cards into your hand and the rest on the bottom of your library in a random order.",Enchantment,,
,,Sorcery,No Way Out,common,Legal,{2}{B},,"Target opponent discards two cards. You create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)",Sorcery,,
"Human, Wizard",2,Creature — Human Wizard,Novice Occultist,common,Legal,{1}{B},1,"When this creature dies, you draw a card and you lose 1 life.",Creature,,
,,Instant,Olivia's Midnight Ambush,common,Legal,{1}{B},,"Target creature gets -2/-2 until end of turn. If it's night, that creature gets -13/-13 until end of turn instead.",Instant,,
,,Instant,Rotten Reunion,common,Legal,{B},,"Exile up to one target card from a graveyard. Create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)\nFlashback {1}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Instant,,
"Human, Werewolf",3,Creature — Human Werewolf,Shady Traveler // Stalking Predator,common,Legal,{2}{B},2,"Menace (This creature can't be blocked except by two or more creatures.)\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)",Creature,,3.0
Werewolf,4,Creature — Werewolf,Shady Traveler // Stalking Predator,common,Legal,,4,"Menace (This creature can't be blocked except by two or more creatures.)\nNightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)",Creature,,0.0
Zombie,2,Creature — Zombie,Siege Zombie,common,Legal,{1}{B},2,Tap three untapped creatures you control: Each opponent loses 1 life.,Creature,,
"Vampire, Warrior",3,Creature — Vampire Warrior,Slaughter Specialist,rare,Legal,{1}{B},3,"When this creature enters, each opponent creates a 1/1 white Human creature token.\nWhenever a creature an opponent controls dies, put a +1/+1 counter on this creature.",Creature,,
Zombie,3,Creature — Zombie,Tainted Adversary,mythic,Legal,{1}{B},2,"Deathtouch\nWhen this creature enters, you may pay {2}{B} any number of times. When you pay this cost one or more times, put that many +1/+1 counters on this creature, then create twice that many 2/2 black Zombie creature tokens with decayed. (A creature with decayed can't block. When it attacks, sacrifice it at end of combat.)",Creature,,
"Human, Rogue",1,Creature — Human Rogue,Vengeful Strangler // Strangling Grasp,uncommon,Legal,{1}{B},2,"This creature can't block.\nWhen this creature dies, return it to the battlefield transformed under your control attached to target creature or planeswalker an opponent controls.",Creature,,2.0
Aura,,Enchantment — Aura,Vengeful Strangler // Strangling Grasp,uncommon,Legal,,,"Enchant creature or planeswalker an opponent controls\nAt the beginning of your upkeep, enchanted permanent's controller sacrifices a nonland permanent of their choice, then that player loses 1 life.",Enchantment,,0.0
,,Sorcery,Abandon the Post,common,Legal,{1}{R},,Up to two target creatures can't block this turn.\nFlashback {3}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.),Sorcery,,
"Human, Shaman",1,Creature — Human Shaman,Ardent Elementalist,common,Legal,{3}{R},2,"When this creature enters, return target instant or sorcery card from your graveyard to your hand.",Creature,,
Vampire,2,Creature — Vampire,Bloodthirsty Adversary,mythic,Legal,{1}{R},2,"Haste\nWhen this creature enters, you may pay {2}{R} any number of times. When you pay this cost one or more times, put that many +1/+1 counters on this creature, then exile up to that many target instant and/or sorcery cards with mana value 3 or less from your graveyard and copy them. You may cast any number of the copies without paying their mana costs.",Creature,,
Devil,3,Creature — Devil,Brimstone Vandal,common,Legal,{2}{R},2,"Menace (This creature can't be blocked except by two or more creatures.)\nIf it's neither day nor night, it becomes day as this creature enters.\nWhenever day becomes night or night becomes day, this creature deals 1 damage to each opponent.",Creature,,
,,Sorcery,Burn Down the House,rare,Legal,{3}{R}{R},,"Choose one —\n• Burn Down the House deals 5 damage to each creature and each planeswalker.\n• Create three 1/1 red Devil creature tokens with ""When this token dies, it deals 1 damage to any target."" They gain haste until end of turn.",Sorcery,,
,,Instant,Burn the Accursed,common,Legal,{4}{R},,"Burn the Accursed deals 5 damage to target creature and 2 damage to that creature's controller. If that creature would die this turn, exile it instead.",Instant,,
,,Instant,Cathartic Pyre,uncommon,Legal,{1}{R},,"Choose one —\n• Cathartic Pyre deals 3 damage to target creature or planeswalker.\n• Discard up to two cards, then draw that many cards.",Instant,,
"Aura, Curse",,Enchantment — Aura Curse,Curse of Shaken Faith,rare,Legal,{1}{R},,"Enchant player\nWhenever enchanted player casts a spell other than the first spell they cast each turn or copies a spell, this Aura deals 2 damage to them.",Enchantment,,
,,Instant,Electric Revelation,common,Legal,{2}{R},,"As an additional cost to cast this spell, discard a card.\nDraw two cards.\nFlashback {3}{R} (You may cast this card from your graveyard for its flashback cost and any additional costs. Then exile it.)",Instant,,
Vampire,1,Creature — Vampire,Falkenrath Perforator,common,Legal,{1}{R},2,"Whenever this creature attacks, it deals 1 damage to defending player.",Creature,,
"Vampire, Warrior",1,Creature — Vampire Warrior,Falkenrath Pit Fighter,rare,Legal,{R},2,"{1}{R}, Discard a card, Sacrifice a Vampire: Draw two cards. Activate only if an opponent lost life this turn.",Creature,,
Vampire,3,Creature — Vampire,Famished Foragers,common,Legal,{3}{R},4,"When this creature enters, if an opponent lost life this turn, add {R}{R}{R}.\n{2}{R}, Discard a card: Draw a card.",Creature,,
"Human, Werewolf",4,Creature — Human Werewolf,Fangblade Brigand // Fangblade Eviscerator,uncommon,Legal,{3}{R},3,"{1}{R}: This creature gets +1/+0 and gains first strike until end of turn.\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)",Creature,,4.0
Werewolf,5,Creature — Werewolf,Fangblade Brigand // Fangblade Eviscerator,uncommon,Legal,,4,"{1}{R}: This creature gets +1/+0 and gains first strike until end of turn.\n{4}{R}: Creatures you control get +2/+0 until end of turn.\nNightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)",Creature,,0.0
Devil,3,Creature — Devil,Festival Crasher,common,Legal,{1}{R},1,"Whenever you cast an instant or sorcery spell, this creature gets +2/+0 until end of turn.",Creature,,
"Human, Wizard",2,Creature — Human Wizard,Flame Channeler // Embodiment of Flame,uncommon,Legal,{1}{R},2,"When a spell you control deals damage, transform this creature.",Creature,,2.0
"Elemental, Wizard",3,Creature — Elemental Wizard,Flame Channeler // Embodiment of Flame,uncommon,Legal,,3,"Whenever a spell you control deals damage, put a flame counter on this creature.\n{1}, Remove a flame counter from this creature: Exile the top card of your library. You may play that card this turn.",Creature,,0.0
,,Artifact,Geistflame Reservoir,rare,Legal,{2}{R},,"Whenever you cast an instant or sorcery spell, put a charge counter on this artifact.\n{1}{R}, {T}, Remove any number of charge counters from this artifact: It deals that much damage to any target.\n{1}{R}, {T}: Exile the top card of your library. You may play that card this turn.",Artifact,,
"Human, Werewolf",2,Creature — Human Werewolf,Harvesttide Infiltrator // Harvesttide Assailant,common,Legal,{2}{R},3,"Trample\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)",Creature,,3.0
Werewolf,4,Creature — Werewolf,Harvesttide Infiltrator // Harvesttide Assailant,common,Legal,,4,"Trample\nNightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)",Creature,,0.0
Aura,,Enchantment — Aura,Immolation,common,Legal,{R},,Enchant creature\nEnchanted creature gets +2/-2.,Enchantment,,
Wolf,2,Creature — Wolf,Lambholt Harrier,common,Legal,{1}{R},2,{3}{R}: Target creature can't block this turn.,Creature,,
,,Sorcery,Light Up the Night,rare,Legal,{X}{R},,"Light Up the Night deals X damage to any target. It deals X plus 1 damage instead if that target is a creature or planeswalker.\nFlashback—{3}{R}, Remove X loyalty counters from among planeswalkers you control. If you cast this spell this way, X can't be 0. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Sorcery,,
,,Instant,Lunar Frenzy,uncommon,Legal,{X}{R},,Target creature you control gets +X/+0 and gains first strike and trample until end of turn.,Instant,,
,,Instant,Moonrager's Slash,common,Legal,{2}{R},,This spell costs {2} less to cast if it's night.\nMoonrager's Slash deals 3 damage to any target.,Instant,,
Dragon,4,Creature — Dragon,Moonveil Regent,mythic,Legal,{3}{R},4,"Flying\nWhenever you cast a spell, you may discard your hand. If you do, draw a card for each of that spell's colors.\nWhen this creature dies, it deals X damage to any target, where X is the number of colors among permanents you control.",Creature,,
"Vampire, Knight",4,Creature — Vampire Knight,Mounted Dreadknight,common,Legal,{4}{R},5,Trample\nThis creature enters with a +1/+1 counter on it if an opponent lost life this turn.,Creature,,
"Human, Wizard",2,Creature — Human Wizard,Obsessive Astronomer,uncommon,Legal,{1}{R},2,"If it's neither day nor night, it becomes day as this creature enters.\nWhenever day becomes night or night becomes day, discard up to two cards, then draw that many cards.",Creature,,
,,Sorcery,Pack's Betrayal,common,Legal,{2}{R},,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. If you control a Wolf or Werewolf, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",Sorcery,,
Dragon,3,Creature — Dragon,Purifying Dragon,uncommon,Legal,{3}{R}{R},4,"Flying\nWhenever this creature attacks, it deals 1 damage to target creature defending player controls. If that creature is a Zombie, this creature deals 2 damage to it instead.",Creature,,
,,Instant,Raze the Effigy,common,Legal,{R},,Choose one —\n• Destroy target artifact.\n• Target attacking creature gets +2/+2 until end of turn.,Instant,,
"Human, Werewolf",3,Creature — Human Werewolf,Reckless Stormseeker // Storm-Charged Slasher,rare,Legal,{2}{R},2,"At the beginning of combat on your turn, target creature you control gets +1/+0 and gains haste until end of turn.\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)",Creature,,3.0
Werewolf,4,Creature — Werewolf,Reckless Stormseeker // Storm-Charged Slasher,rare,Legal,,3,"At the beginning of combat on your turn, target creature you control gets +2/+0 and gains trample and haste until end of turn.\nNightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)",Creature,,0.0
,,Sorcery,Seize the Storm,uncommon,Legal,{4}{R},,"Create a red Elemental creature token with trample and ""This token's power and toughness are each equal to the number of instant and sorcery cards in your graveyard plus the number of cards with flashback you own in exile.""\nFlashback {6}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Sorcery,,
"Dragon, Egg",4,Creature — Dragon Egg,Smoldering Egg // Ashmouth Dragon,rare,Legal,{1}{R},0,"Defender\nWhenever you cast an instant or sorcery spell, put a number of ember counters on this creature equal to the amount of mana spent to cast that spell. Then if this creature has seven or more ember counters on it, remove them and transform this creature.",Creature,,2.0
Dragon,4,Creature — Dragon,Smoldering Egg // Ashmouth Dragon,rare,Legal,,4,"Flying\nWhenever you cast an instant or sorcery spell, this creature deals 2 damage to any target.",Creature,,0.0
"Human, Shaman, Werewolf",3,Creature — Human Shaman Werewolf,Spellrune Painter // Spellrune Howler,uncommon,Legal,{2}{R},2,"Whenever you cast an instant or sorcery spell, this creature gets +1/+1 until end of turn.\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)",Creature,,3.0
Werewolf,4,Creature — Werewolf,Spellrune Painter // Spellrune Howler,uncommon,Legal,,3,"Whenever you cast an instant or sorcery spell, this creature gets +2/+2 until end of turn.\nNightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)",Creature,,0.0
Phoenix,2,Creature — Phoenix,Sunstreak Phoenix,mythic,Legal,{2}{R}{R},4,"Flying\nIf it's neither day nor night, it becomes day as this creature enters.\nWhenever day becomes night or night becomes day, you may pay {1}{R}. If you do, return this card from your graveyard to the battlefield tapped.",Creature,,
"Human, Warrior, Werewolf",5,Creature — Human Warrior Werewolf,Tavern Ruffian // Tavern Smasher,common,Legal,{3}{R},2,"Daybound (If a player casts no spells during their own turn, it becomes night next turn.)",Creature,,4.0
Werewolf,5,Creature — Werewolf,Tavern Ruffian // Tavern Smasher,common,Legal,,6,"Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)",Creature,,0.0
"Human, Shaman",3,Creature — Human Shaman,Thermo-Alchemist,uncommon,Legal,{1}{R},0,"Defender\n{T}: This creature deals 1 damage to each opponent.\nWhenever you cast an instant or sorcery spell, untap this creature.",Creature,,
"Human, Werewolf",3,Creature — Human Werewolf,Village Watch // Village Reavers,uncommon,Legal,{4}{R},4,"Haste\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)",Creature,,5.0
Werewolf,4,Creature — Werewolf,Village Watch // Village Reavers,uncommon,Legal,,5,"Wolves and Werewolves you control have haste.\nNightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)",Creature,,0.0
"Vampire, Warrior",1,Creature — Vampire Warrior,Voldaren Stinger,common,Legal,{R},1,This creature has first strike as long as it's attacking.\n{2}{R}: This creature gets +2/+0 until end of turn.,Creature,,
"Human, Druid",3,Creature — Human Druid,Augur of Autumn,rare,Legal,{1}{G}{G},2,"You may look at the top card of your library any time.\nYou may play lands from the top of your library.\nCoven — As long as you control three or more creatures with different powers, you may cast creature spells from the top of your library.",Creature,,
"Human, Archer, Werewolf",4,Creature — Human Archer Werewolf,Bird Admirer // Wing Shredder,common,Legal,{2}{G},1,"Reach\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)",Creature,,3.0
Werewolf,5,Creature — Werewolf,Bird Admirer // Wing Shredder,common,Legal,,3,"Reach\nNightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)",Creature,,0.0
Wolf,2,Creature — Wolf,Bounding Wolf,common,Legal,{2}{G},3,Flash\nReach,Creature,,
Equipment,,Artifact — Equipment,Bramble Armor,common,Legal,{1}{G},,"When this Equipment enters, attach it to target creature you control.\nEquipped creature gets +2/+1.\nEquip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)",Artifact,,
Spider,4,Creature — Spider,Brood Weaver,uncommon,Legal,{3}{G},2,"Reach\nWhen this creature dies, create a 1/2 green Spider creature token with reach.",Creature,,
"Human, Werewolf",5,Creature — Human Werewolf,Burly Breaker // Dire-Strain Demolisher,uncommon,Legal,{3}{G}{G},6,"Ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)",Creature,,5.0
Werewolf,7,Creature — Werewolf,Burly Breaker // Dire-Strain Demolisher,uncommon,Legal,,8,"Ward {3} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)\nNightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)",Creature,,0.0
"Human, Knight",5,Creature — Human Knight,Candlelit Cavalry,common,Legal,{4}{G},5,"Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, this creature gains trample until end of turn.",Creature,,
Ooze,*+1,Creature — Ooze,Consuming Blob,mythic,Legal,{3}{G}{G},*,"Consuming Blob's power is equal to the number of card types among cards in your graveyard and its toughness is equal to that number plus 1.\nAt the beginning of your end step, create a green Ooze creature token with ""This token's power is equal to the number of card types among cards in your graveyard and its toughness is equal to that number plus 1.""",Creature,,
Human,0,Creature — Human,Contortionist Troupe,uncommon,Legal,{X}{G},0,"This creature enters with X +1/+1 counters on it.\nCoven — At the beginning of your end step, if you control three or more creatures with different powers, put a +1/+1 counter on target creature you control.",Creature,,
"Human, Warlock",4,Creature — Human Warlock,Dawnhart Mentor,uncommon,Legal,{2}{G},0,"When this creature enters, create a 1/1 white Human creature token.\nCoven — {5}{G}: Target creature you control gets +3/+3 and gains trample until end of turn. Activate only if you control three or more creatures with different powers.",Creature,,
"Human, Warlock",4,Creature — Human Warlock,Dawnhart Rejuvenator,common,Legal,{3}{G},2,"When this creature enters, you gain 3 life.\n{T}: Add one mana of any color.",Creature,,
Fungus,1,Creature — Fungus,Deathbonnet Sprout // Deathbonnet Hulk,uncommon,Legal,{G},1,"At the beginning of your upkeep, mill a card. Then if there are three or more creature cards in your graveyard, transform this creature. (To mill a card, put the top card of your library into your graveyard.)",Creature,,1.0
"Fungus, Horror",3,Creature — Fungus Horror,Deathbonnet Sprout // Deathbonnet Hulk,uncommon,Legal,,3,"At the beginning of your upkeep, you may exile a card from a graveyard. If a creature card was exiled this way, put a +1/+1 counter on this creature.",Creature,,0.0
,,Sorcery,Dryad's Revival,uncommon,Legal,{2}{G},,Return target card from your graveyard to your hand.\nFlashback {4}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.),Sorcery,,
,,Instant,Duel for Dominance,common,Legal,{1}{G},,"Coven — Choose target creature you control and target creature you don't control. If you control three or more creatures with different powers, put a +1/+1 counter on the chosen creature you control. Then the chosen creatures fight each other. (Each deals damage equal to its power to the other.)",Instant,,
"Human, Peasant",3,Creature — Human Peasant,Eccentric Farmer,common,Legal,{2}{G},2,"When this creature enters, mill three cards, then you may return a land card from your graveyard to your hand. (To mill three cards, put the top three cards of your library into your graveyard.)",Creature,,
"Human, Warrior",1,Creature — Human Warrior,Harvesttide Sentry,common,Legal,{1}{G},3,"Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, this creature can't be blocked by creatures with power 2 or less this turn.",Creature,,
"Human, Werewolf",3,Creature — Human Werewolf,Hound Tamer // Untamed Pup,uncommon,Legal,{2}{G},3,"Trample\n{3}{G}: Put a +1/+1 counter on target creature.\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)",Creature,,3.0
Werewolf,4,Creature — Werewolf,Hound Tamer // Untamed Pup,uncommon,Legal,,4,"Trample\nOther Wolves and Werewolves you control have trample.\n{3}{G}: Put a +1/+1 counter on target creature.\nNightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)",Creature,,0.0
Aura,,Enchantment — Aura,Howl of the Hunt,common,Legal,{2}{G},,"Flash\nEnchant creature\nWhen this Aura enters, if enchanted creature is a Wolf or Werewolf, untap that creature.\nEnchanted creature gets +2/+2 and has vigilance.",Enchantment,,
,,Instant,Might of the Old Ways,common,Legal,{1}{G},,"Target creature gets +2/+2 until end of turn.\nCoven — Then if you control three or more creatures with different powers, draw a card.",Instant,,
"Human, Werewolf",2,Creature — Human Werewolf,Outland Liberator // Frenzied Trapbreaker,uncommon,Legal,{1}{G},2,"{1}, Sacrifice this creature: Destroy target artifact or enchantment.\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)",Creature,,2.0
Werewolf,3,Creature — Werewolf,Outland Liberator // Frenzied Trapbreaker,uncommon,Legal,,3,"{1}, Sacrifice this creature: Destroy target artifact or enchantment.\nWhenever this creature attacks, destroy target artifact or enchantment defending player controls.\nNightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)",Creature,,0.0
,,Sorcery,Path to the Festival,common,Legal,{2}{G},,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle. Then if there are three or more basic land types among lands you control, scry 1. (Look at the top card of your library. You may put that card on the bottom.)\nFlashback {4}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Sorcery,,
Wolf,2,Creature — Wolf,Pestilent Wolf,common,Legal,{1}{G},2,{2}{G}: This creature gains deathtouch until end of turn.,Creature,,
Wolf,3,Creature — Wolf,Primal Adversary,mythic,Legal,{2}{G},4,"Trample\nWhen this creature enters, you may pay {1}{G} any number of times. When you pay this cost one or more times, put that many +1/+1 counters on this creature, then up to that many target lands you control become 3/3 Wolf creatures with haste that are still lands.",Creature,,
,,Sorcery,Rise of the Ants,uncommon,Legal,{4}{G}{G},,Create two 3/3 green Insect creature tokens. You gain 2 life.\nFlashback {6}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.),Sorcery,,
"Human, Warlock",4,Legendary Creature — Human Warlock,"Saryth, the Viper's Fang",rare,Legal,{2}{G}{G},3,"Other tapped creatures you control have deathtouch.\nOther untapped creatures you control have hexproof.\n{1}, {T}: Untap another target creature or land you control.",Creature,,
,,Sorcery,Shadowbeast Sighting,common,Legal,{3}{G},,Create a 4/4 green Beast creature token.\nFlashback {6}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.),Sorcery,,
Wolf,1,Creature — Wolf,Snarling Wolf,common,Legal,{G},1,{1}{G}: This creature gets +2/+2 until end of turn. Activate only once each turn.,Creature,,
,,Sorcery,Storm the Festival,rare,Legal,{3}{G}{G}{G},,Look at the top five cards of your library. You may put up to two permanent cards with mana value 5 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.\nFlashback {7}{G}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.),Sorcery,,
,,Sorcery,Tapping at the Window,common,Legal,{1}{G},,Look at the top three cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest into your graveyard.\nFlashback {2}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.),Sorcery,,
"Human, Scout",1,Creature — Human Scout,Timberland Guide,common,Legal,{1}{G},1,"When this creature enters, put a +1/+1 counter on target creature.",Creature,,
"Human, Werewolf",5,Creature — Human Werewolf,Tireless Hauler // Dire-Strain Brawler,common,Legal,{4}{G},4,"Vigilance\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)",Creature,,5.0
Werewolf,6,Creature — Werewolf,Tireless Hauler // Dire-Strain Brawler,common,Legal,,6,"Vigilance\nNightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)",Creature,,0.0
"Human, Werewolf",6,Creature — Human Werewolf,Tovolar's Huntmaster // Tovolar's Packleader,rare,Legal,{4}{G}{G},6,"When this creature enters, create two 2/2 green Wolf creature tokens.\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)",Creature,,6.0
Werewolf,7,Creature — Werewolf,Tovolar's Huntmaster // Tovolar's Packleader,rare,Legal,,7,"Whenever this creature enters or attacks, create two 2/2 green Wolf creature tokens.\n{2}{G}{G}: Another target Wolf or Werewolf you control fights target creature you don't control.\nNightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)",Creature,,0.0
,,Instant,Turn the Earth,uncommon,Legal,{G},,Choose up to three target cards in graveyards. The owners of those cards shuffle them into their libraries. You gain 2 life.\nFlashback {1}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.),Instant,,
,,Enchantment,Unnatural Growth,rare,Legal,{1}{G}{G}{G}{G},,"At the beginning of each combat, double the power and toughness of each creature you control until end of turn.",Enchantment,,
"Treefolk, Spirit",1,Creature — Treefolk Spirit,Willow Geist,rare,Legal,{G},1,"Trample\nWhenever one or more cards leave your graveyard, put a +1/+1 counter on this creature.\nWhen this creature dies, you gain life equal to its power.",Creature,,
Wrenn,,Legendary Planeswalker — Wrenn,Wrenn and Seven,mythic,Legal,{3}{G}{G},,"[+1]: Reveal the top four cards of your library. Put all land cards revealed this way into your hand and the rest into your graveyard.\n[0]: Put any number of land cards from your hand onto the battlefield tapped.\n[−3]: Create a green Treefolk creature token with reach and ""This token's power and toughness are each equal to the number of lands you control.""\n[−8]: Return all permanent cards from your graveyard to your hand. You get an emblem with ""You have no maximum hand size.""",Planeswalker,,
,,Sorcery,Angelfire Ignition,rare,Legal,{1}{R}{W},,"Put two +1/+1 counters on target creature. It gains vigilance, trample, lifelink, indestructible, and haste until end of turn.\nFlashback {2}{R}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Sorcery,,
,,Instant,Arcane Infusion,uncommon,Legal,{U}{R},,Look at the top four cards of your library. You may reveal an instant or sorcery card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.\nFlashback {3}{U}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.),Instant,,
